ID,medv
3,10.37921664850196
6,18.886858371728753
8,13.51821384633189
9,15.748946762976683
10,19.896023964352686
18,8.062616566942552
20,21.864420255867284
25,22.9424562899666
26,26.560898457436004
27,27.239708983780083
29,28.57405855828786
30,35.781564925117856
33,21.43460401123817
34,18.222848137753612
36,20.281644584043867
37,20.195091894281383
38,19.968375722804765
42,20.735224233891394
49,21.54393636810441
53,26.300183538579738
60,30.520128685726092
63,17.472556741023478
70,34.12307214241217
72,33.553245961346086
79,26.389882238581144
80,24.46876232787877
83,42.86029906252228
92,30.571005083536775
93,38.77310286824374
96,34.95541315113837
98,29.147288085648885
99,29.412699832570944
100,32.26685756564969
105,21.571579370864704
106,25.514745728632
111,20.12226669311729
113,21.59351078813432
114,19.922111923212956
116,15.237875126322937
126,27.23866200075768
130,19.73791072997639
131,8.898455665173564
133,18.21011719588222
136,17.151608752898287
141,9.482738164847692
144,17.628978834728812
145,2.00254922914219
147,20.94921037677103
152,18.810503158089546
153,14.176781494137511
156,18.626079606505424
158,17.25092293833754
163,16.386559229816392
169,13.6790806671485
185,
186,
189,
196,
197,
199,
200,
203,
208,
210,
211,
213,
216,
218,
219,
220,
221,
229,
232,
238,
239,
240,
242,
246,
248,
253,
255,
256,
257,
258,
259,
260,
268,
270,
271,
276,
277,
278,
279,
281,
288,
290,
292,
295,
296,
299,
300,
301,
308,
314,
315,
320,
322,
323,
324,
327,
330,
332,
333,
336,
338,
346,
347,
351,
352,
354,
355,
356,
362,
364,
365,
370,
376,
379,
380,
381,
382,
386,
389,
391,
394,
396,
398,
400,
403,
405,
406,
407,
410,
411,
412,
413,
417,
421,
422,
423,
424,
427,
431,
436,
437,
439,
447,
450,
451,
455,
457,
471,
474,
476,
483,
486,
490,
495,
496,
497,
499,
501,
505,
