index,target
0,19.664957968227164
1,10.228924687387755
2,15.330332122891905
3,16.745079884149707
4,24.597930828364984
5,22.580237351176514
6,32.32981971299844
7,18.31794905643396
8,32.0883086220196
9,21.238766620247645
10,32.24440712732989
11,35.23572062167279
12,12.173134412998964
13,23.266351341202657
14,13.656513043969044
15,24.379273581595527
16,17.76507961808189
17,17.04146254525532
18,31.408314947932077
19,22.531638934019195
20,15.904641569355952
21,18.35380123985794
22,18.110990056579247
23,19.345628728351652
24,32.59851846885214
25,18.811964026561224
26,23.671363366870477
27,24.279986232919093
28,12.786357194427081
29,33.71795694044246
30,16.817053067398586
31,24.838128105082056
32,9.658271784825837
33,21.960399586893985
34,30.640245369800482
35,33.361485619411596
36,26.882751438301973
37,12.009298460429758
38,16.246537124266904
39,25.88022844395885
40,15.564465943762421
41,12.884471512788307
42,34.031425046253105
43,16.348716513677047
44,28.025000218045435
45,20.378547788274208
46,20.096506087146988
47,20.739900137607513
48,26.000556617597088
49,21.55374655225811
50,15.52468300364551
51,36.12329928614285
52,16.684784643302148
53,14.414580355967436
54,25.140920429243955
55,20.859594779609786
56,25.897206414792596
57,16.3562738810357
58,22.26884149593097
59,22.16031528926011
60,20.140810757281944
61,17.333375461707785
62,40.791952107066315
63,22.536028507191112
64,16.334498643568832
65,29.536010131208695
66,25.910805404448375
67,11.91491708857572
68,18.916902094977626
69,31.000103090729052
70,22.508758197066076
71,21.003235685991616
72,17.94117773588321
73,29.39863172300421
74,19.926551353153215
75,34.261828397022505
76,17.788942003905838
77,9.96555648613448
78,18.513387373984262
79,23.896033501027695
80,21.89541604522927
81,16.092333465166085
82,12.105231220860631
83,27.594464266005712
84,21.602584584979834
85,21.57865838194311
86,42.06357166648102
87,16.251233009160497
88,43.135457377234765
89,36.023775012971086
90,32.96310503878376
91,20.697165009074954
92,19.48338873737201
93,16.192126676347193
94,13.17811432726021
95,34.834943629269596
96,23.178851710046047
97,23.602271175569598
98,18.791513584059558
99,20.133622656597552
100,16.90324838382157
101,21.025864806023026
